0000000205;
0000000206;0000000215,0000000245,0000000561
0000000207;0000000215
0000000208;
0000000209;
0000000210;
0000000211;
0000000212;
0000000213;
0000000214;
0000000215;0000000207,0000000173
0000000216;
0000000217;
0000000218;
0000000219;
0000000220;
0000000221;
0000000222;
0000000223;
0000000224;
0000000225;
0000000226;
0000000227;
0000000228;
0000000229;
0000000230;
0000000231;
0000000232;
0000000233;
0000000234;
0000000235;
0000000236;
0000000237;
0000000238;
0000000239;
0000000240;0000000241
0000000241;0000000240
0000000242;
0000000243;
0000000244;0000000246
0000000245;
0000000246;0000000244
0000000247;
0000000248;
0000000249;0000000254
0000000250;
0000000251;
0000000252;
0000000253;0000000256
0000000254;0000000249
0000000255;
0000000256;0000000253
0000000257;
0000000258;
0000000259;
0000000260;
0000000261;
0000000262;
0000000263;
0000000264;
0000000265;
0000000266;
0000000267;
0000000268;
0000000269;
0000000270;
0000000271;
0000000272;
0000000273;
0000000274;
0000000275;
0000000276;0000000278
0000000277;
0000000278;0000000276
0000000279;0000000284
0000000280;
0000000281;
0000000282;
0000000283;
0000000284;0000000279
0000000285;
0000000286;
0000000287;
0000000288;
0000000289;
0000000290;
0000000291;
0000000292;
